rownum,text,userid,emojis_list,unique_emojis_list,emoji_present,number_of_emojis_used
1,Show your 🤚 hands panther fans 🤚,1,"['🤚', '🤚']",['🤚'],True,2
2,@user92 @user14 so many people,2,[],[],False,0
3,🧡💙Let's go panthers!💙🧡,3,"['🧡', '💙', '💙', '🧡']","['💙', '🧡']",True,4
4,4,0,[],[],False,0
5,RT @here @there @everywhere #hashtag #emojitest is all 4️⃣ ❤️ more 🇦🇺 👨🏾‍👩🏾‍👧🏾‍👦🏾txt and more!!! https://www.url.com 🧵👨🏾‍👩🏾‍👧🏾‍👦🏾👩🏾‍💻👪🏿 🗳️🗳 😃 🟠https://www.url.com,0,"['4️⃣', '❤️', '🇦🇺', '👨🏾\u200d👩🏾\u200d👧🏾\u200d👦🏾', '🧵', '👨🏾\u200d👩🏾\u200d👧🏾\u200d👦🏾', '👩🏾\u200d💻', '👪🏿', '🗳️', '🗳️', '😃', '\U0001f7e0']","['4️⃣', '❤️', '🇦🇺', '👨🏾\u200d👩🏾\u200d👧🏾\u200d👦🏾', '👩🏾\u200d💻', '👪🏿', '🗳️', '😃', '\U0001f7e0', '🧵']",True,12
6,,0,[],[],False,0
7,@user36 @user37 @user38 @user39 @user40 Today!👇👇👇  ,4,"['👇', '👇', '👇']",['👇'],True,3
8,snowtastrophe out there be carefulz 🌨❄️,5,"['🌨️', '❄️']","['❄️', '🌨️']",True,2
9,RT @user19 @user42 @user11 no foolin! ⬇️ He’s not playing. ,89,['⬇️'],['⬇️'],True,1
10,This is my fav place 🍜🍲😋 ❤️,24,"['🍜', '🍲', '😋', '❤️']","['❤️', '🍜', '🍲', '😋']",True,4
11,RT @user31 @user22 @user91  💥UPDATE! 💥 this breaking news just in that ,31,"['💥', '💥']",['💥'],True,2
12,Time for happy hour! Going to Rossi's @user103 https://www.url.com,33,[],[],False,0
13,@user2 everyone is so excited to be here at the rally,35,[],[],False,0
14,☺️ 5 days left and anxiously waiting,52,['☺️'],['☺️'],True,1
